wallet_address,tokens_traded,early_adoptions,ultra_early_discoveries,first_hour_discoveries,avg_discovery_score,avg_trader_rank,top10_discoveries,first_discoveries,connected_wallets,lead_ratio,avg_synchronicity_score,sync_trades_5min,avg_minutes_after_launch,total_connections,discovery_ability_score,influence_score,independence_score,reaction_speed_score,network_influence_score,independent_decision_ratio,network_role,source_file
0xf0c98a45d3421575ccb1800fd522b817a9212a5d,23,600,0,0,46.66666666666666,7.583333333333333,18,5,200,0.8517399520414228,20.2,48.0,29044.5,4800,0,30.0,12,1,11.5,0.798,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x5d2d49c7371eac3a89ca780ffe4ff32d311d9761,2,398,0,0,80.0,31.0,0,0,199,0.8492462311557789,20.402010050251256,4.0,626.5,398,0,30.0,10,5,11.5,0.7959798994974874,Inactive,SmartMoney_NetworkAnalysis_90d_e1.csv
0x2544b6eda4ff166cfb1f645a80b51e08d414a11f,2,199,0,0,70.0,39.5,0,0,199,0.8065326633165829,20.0,0.0,1149.0,398,0,30.0,10,3,11.3,0.8,Inactive,SmartMoney_NetworkAnalysis_90d_e1.csv
0x1fb89a3e36b435d727586220eacc3f34cf717fdb,2,199,0,0,70.0,39.5,0,0,199,0.8065326633165829,20.201005025125628,4.0,1385.0,398,0,30.0,10,3,11.3,0.7979899497487437,Inactive,SmartMoney_NetworkAnalysis_90d_e1.csv
0x971ac48e6f904406edbc22687ed92bc8966fe551,3,0,0,0,60.0,22.666666666666668,1,1,131,0.7277353689567428,20.0,0.0,4425.666666666667,393,0,28.645038167938928,13,1,11.293511450381676,0.8,Inactive,SmartMoney_NetworkAnalysis_90d_e1.csv
0x37829fe9b8e67b8267c2058b9459f524b9e3ca5d,15,597,0,0,44.0,12.8,12,3,199,0.7612796890435081,20.0,15.0,42237.73333333333,2985,0,29.27399416956577,12,1,11.282198250869731,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x8d0521c7748e47369794cd346fb61ad31b0a2b03,35,416,0,0,40.0,15.714285714285714,14,2,208,0.7707179587153911,20.192307692307693,315.0,44575.08571428571,7280,0,29.450961725913583,11,1,11.135288517774072,0.7980769230769231,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xf298b9cae102e72dd957fed231cc776c78a3936f,82,1664,0,0,47.31707317073171,9.378048780487806,64,10,208,0.7666426014439024,20.28846153846154,656.0,22247.646341463416,17056,0,29.37454877707317,11,1,11.11236463312195,0.7971153846153846,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xc7bf1bf8d639db5ae9c52c905747795752dc967a,3,0,0,0,46.66666666666666,18.0,1,0,132,0.803030303030303,20.303030303030305,3.0,32107.666666666668,396,0,30.0,10,1,11.1,0.796969696969697,Inactive,SmartMoney_NetworkAnalysis_90d_e1.csv
0x6d3cf81dd10cb88e27d4c2bd5cd81433017a269e,24,1212,0,0,45.833333333333336,13.625,16,1,202,0.8172790089924861,20.1980198019802,168.0,27056.83333333333,4848,0,30.0,10,1,11.1,0.7980198019801981,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
